,0
0,3.9699383331088476
1,4.180752219494884
2,4.218358256013657
3,4.18609330379051
4,4.12805522256045
5,4.070002558647309
6,4.383869619704861
7,4.397092206540934
8,4.363376499395243
9,4.31571239922178
10,4.2850391733437885
11,4.255497750380543
12,4.215788612347092
13,4.41891043874332
14,4.413343976761309
15,4.366758706863084
16,4.337303484171356
17,4.438787058997994
18,4.28723453949725
19,4.273113434552767
20,4.251264751948243
21,4.391251013767042
22,4.366329682518552
23,4.356045435454087
24,4.332480425097371
25,4.316097439315635
26,4.293552824207948
27,4.281092670998245
28,4.269544624689052
29,4.25351188074083
30,4.23717076804068
