,0
0,23.444160272804773
1,23.10315430520034
2,21.057118499573743
3,18.584825234441603
4,18.755328218243818
5,16.965046888320547
6,16.624040920716112
7,16.538789428815004
8,16.19778346121057
9,15.601023017902813
10,14.407502131287298
11,13.895993179880648
12,13.384484228473998
13,14.492753623188406
14,13.043478260869565
15,13.043478260869565
16,13.213981244671782
17,11.84995737425405
18,11.84995737425405
19,11.764705882352942
20,11.594202898550725
21,12.787723785166241
22,11.253196930946292
23,10.485933503836318
24,11.935208866155158
25,11.3384484228474
26,10.82693947144075
27,9.377664109121909
28,8.695652173913043
29,11.167945439045184
30,8.780903665814153
