,0
0,22.6768968456948
1,23.017902813299234
2,19.77834612105712
3,19.437340153452684
4,19.011082693947145
5,17.22080136402387
6,17.135549872122763
7,16.027280477408354
8,15.089514066496164
9,14.919011082693947
10,14.492753623188406
11,13.384484228473998
12,14.322250639386189
13,12.702472293265131
14,12.105711849957375
15,14.066496163682864
16,12.361466325660698
17,11.679454390451832
18,12.361466325660698
19,12.446717817561808
20,10.656436487638533
21,11.679454390451832
22,11.508951406649617
23,9.88917306052856
24,9.803921568627452
25,11.935208866155158
26,10.912190963341859
27,8.951406649616368
28,10.912190963341859
29,10.741687979539641
30,9.292412617220801
