,0
0,23.273657289002557
1,23.017902813299234
2,24.12617220801364
3,25.404944586530263
4,25.66069906223359
5,26.257459505541348
6,18.15856777493606
7,17.73231031543052
8,24.04092071611253
9,28.729752770673485
10,19.948849104859335
11,20.20460358056266
12,25.575447570332482
13,20.545609548167093
14,20.20460358056266
15,19.352088661551576
16,26.00170502983802
17,24.21142369991475
18,16.965046888320547
19,22.25063938618926
20,24.296675191815858
21,22.59164535379369
22,23.444160272804773
23,20.20460358056266
24,23.444160272804773
25,16.965046888320547
26,22.847399829497014
27,25.06393861892583
28,24.04092071611253
29,21.14236999147485
30,24.978687127024724
