,0
0,24.808184143222505
1,22.932651321398126
2,20.11935208866155
3,19.522591645353792
4,18.499573742540495
5,18.24381926683717
6,17.306052855924978
7,16.11253196930946
8,16.11253196930946
9,15.345268542199488
10,15.345268542199488
11,14.492753623188406
12,14.492753623188406
13,14.578005115089514
14,12.958226768968457
15,12.361466325660698
16,11.508951406649617
17,10.741687979539641
18,12.617220801364024
19,12.872975277067349
20,12.531969309462916
21,12.361466325660698
22,11.84995737425405
23,12.020460358056265
24,10.997442455242966
25,10.571184995737426
26,10.230179028132993
27,10.997442455242966
28,8.439897698209718
29,11.082693947144074
30,11.082693947144074
