,0
0,25.234441602728047
1,22.59164535379369
2,22.335890878090368
3,22.762148337595907
4,26.59846547314578
5,24.12617220801364
6,26.939471440750214
7,27.024722932651322
8,18.584825234441603
9,19.437340153452684
10,20.11935208866155
11,19.948849104859335
12,21.73913043478261
13,26.51321398124467
14,22.08013640238704
15,23.6999147485081
16,26.257459505541348
17,25.831202046035806
18,20.460358056265985
19,21.398124467178175
20,21.398124467178175
21,20.375106564364877
22,21.994884910485933
23,22.08013640238704
24,20.6308610400682
25,21.73913043478261
26,23.614663256606992
27,21.14236999147485
28,17.561807331628305
29,20.28985507246377
30,24.808184143222505
