,0
0,3.967187716618357
1,4.186530896806251
2,4.21521171738781
3,4.183308956723917
4,4.12765497300365
5,4.073570696604844
6,4.393912516903525
7,4.382799456142251
8,4.34808988615264
9,4.322513052507134
10,4.2869648537746885
11,4.250123790359315
12,4.218338347866569
13,4.185984791161667
14,4.159319773860607
15,4.131713553574462
16,4.367812052456167
17,4.3253233963021875
18,4.440625102427545
19,4.418634309701458
20,4.408066572470639
21,4.2245300931018335
22,4.367692026489857
23,4.362837306368888
24,4.33268088698983
25,4.3479698105089
26,4.302450670646297
27,4.28945869862074
28,4.280185702519014
29,4.248294825687592
30,4.239790185616218
