,0
0,3.649808226723193
1,4.176897586624058
2,4.641250348868805
3,5.069739065168942
4,5.460777704403292
5,5.837500174533962
6,6.189286061721691
7,6.521017216136261
8,6.835797563797815
9,7.132968721657313
10,7.417548155280987
11,7.69872906236703
12,7.9723180681554275
13,8.238131837399566
14,8.479660277092849
15,8.736576153894639
16,8.97516907067187
17,9.17094401270403
18,9.397914829810748
19,9.638508711124006
20,9.843471098597771
21,10.060824479542132
22,10.257817236900165
23,10.44605951606152
24,10.635493358516838
25,10.826352764765872
26,11.008530105226464
27,11.18008359889268
28,11.365353300841255
29,11.547530297808605
30,11.730621212390561
