,0
0,3.279772401293876
1,4.120846390903828
2,3.0402118304015104
3,2.7121107221159564
4,3.5673009971388328
5,2.498431890498311
6,3.034233990572171
7,3.011763829110187
8,2.453616393198941
9,2.4945807071344657
10,2.0773725583766267
11,2.45277834678349
12,2.118940903342109
13,2.3983074498798724
14,2.209573254946452
15,2.005125561717608
16,3.0122082770110468
17,2.3990016389637203
18,2.2174976059609266
19,2.0339537919543114
20,1.9151712582736562
21,2.654613027168105
22,2.241491802342781
23,1.9571537717848093
24,3.0262193902174372
25,2.4416689920158907
26,1.9258492664121645
27,1.901761195164614
28,1.9636486967281759
29,2.0756479604522426
30,2.0450444548512308
