,0
0,27.62148337595908
1,25.404944586530263
2,21.568627450980394
3,21.14236999147485
4,22.25063938618926
5,20.20460358056266
6,18.67007672634271
7,17.561807331628305
8,17.135549872122763
9,17.306052855924978
10,16.027280477408354
11,14.748508098891731
12,15.26001705029838
13,14.407502131287298
14,13.72549019607843
15,14.236999147485081
16,12.531969309462916
17,13.043478260869565
18,13.043478260869565
19,12.020460358056265
20,11.764705882352942
21,11.423699914748507
22,11.764705882352942
23,11.508951406649617
24,12.958226768968457
25,12.190963341858483
26,12.446717817561808
27,11.508951406649617
28,12.190963341858483
29,10.571184995737426
30,8.780903665814153
