,0
0,0.11638403000040945
1,0.10532395643139397
2,0.09687612278679363
3,0.09014324977128248
4,0.08464611126587966
5,0.08001454376989527
6,0.07612288779411383
7,0.07273067361564167
8,0.0697349550390832
9,0.06701521744375723
10,0.06466589246937976
11,0.06252317010413493
12,0.06061173430318895
13,0.058863453194622065
14,0.057173473956454175
15,0.055690516366823754
16,0.054299603816001386
17,0.05302248721377187
18,0.051878273706847666
19,0.050741940538651505
20,0.04972227336849367
21,0.04871834202524254
22,0.047817537532144634
23,0.046946057439085274
24,0.04611845365056608
25,0.04533958145518093
26,0.04459167085183378
27,0.0438835473789486
28,0.04322010771030192
29,0.04257465605773311
30,0.04193670354177638
