,0
0,3.0324449358641985
1,3.48693014852954
2,3.625557834484195
3,3.650659145023726
4,3.637519373540647
5,3.5923210115390782
6,3.541175375006827
7,3.7740067709499034
8,3.799245142083528
9,3.790861661050344
10,3.784037358105654
11,3.7664553281712694
12,3.732006982382506
13,3.715640555877171
14,3.6795022226509966
15,3.8210342587096036
16,3.6131583727562817
17,3.8154515470488906
18,3.7959443684810217
19,3.7821341016715775
20,3.772268077664239
21,3.7493956582425683
22,3.840760421024275
23,3.8328918433792816
24,3.827576284982895
25,3.8223972732895137
26,3.815291615683743
27,3.8011318232938374
28,3.7832341107035607
29,3.7584983868818793
30,3.760411066482757
