,0
0,5.3455323377013615
1,3.658147422988388
2,2.9031252101361176
3,4.728313459317896
4,10.850758616846274
5,4.313501343980981
6,10.00921241060961
7,17.400899432531386
8,15.258616009673492
9,11.51072223912582
10,8.289911966461515
11,7.078713729474872
12,12.553680510202934
13,10.724406925803272
14,15.139144659279024
15,26.80925475599815
16,25.07574514155343
17,23.774430699978538
18,17.23755880906573
19,10.846729355935892
20,15.163889667958555
21,18.732920643356554
22,15.734331410184467
23,14.75870880282642
24,15.32375257630697
25,13.608188798625386
26,33.68167403539113
27,68.5159061259695
28,14.511484296907751
29,15.4467161467526
30,13.773748021811551
