,0
0,23.273657289002557
1,23.18840579710145
2,24.296675191815858
3,25.319693094629155
4,28.21824381926684
5,28.985507246376812
6,26.342710997442456
7,22.762148337595907
8,22.25063938618926
9,25.49019607843137
10,27.536231884057973
11,26.683716965046887
12,26.51321398124467
13,27.706734867860188
14,22.847399829497014
15,25.49019607843137
16,21.909633418584825
17,26.768968456947995
18,24.12617220801364
19,23.955669224211423
20,22.421142369991475
21,23.785166240409207
22,27.280477408354646
23,24.978687127024724
24,27.62148337595908
25,22.762148337595907
26,26.59846547314578
27,28.388746803069054
28,28.303495311167946
29,24.296675191815858
30,31.62830349531117
