,0
0,4.477214981369898
1,2.49814557641541
2,2.4317196571036352
3,2.4445695409274824
4,2.516894124295348
5,2.7223538754331797
6,2.3616461629714527
7,2.2717301695426872
8,3.2339157516392234
9,3.1914580343532224
10,4.038826332188019
11,2.518059119353103
12,2.353952469468805
13,1.9884956387892214
14,2.825876634621514
15,1.992273200710282
16,2.2046171878637497
17,2.229664049511721
18,2.4403842680529486
19,2.263810257371062
20,1.9282313838068763
21,2.056386737747643
22,2.2447133556990386
23,1.913615049139812
24,2.0091830991419664
25,2.009793570571109
26,1.8795927855663335
27,1.8213517326424313
28,1.9725034704334383
29,1.9011371802787218
30,2.017724102147005
