,0
0,11.006642252758672
1,7.514564853809872
2,6.257471091207392
3,5.8379652141943845
4,5.9608627552599085
5,5.554543851652149
6,10.729955578982972
7,7.246010343681135
8,6.912258428001687
9,4.315675362227263
10,6.010155222889281
11,7.208235828005502
12,4.854350961657777
13,9.490514274063166
14,8.592799727141044
15,9.013972511912504
16,6.559107347614494
17,5.0815712807880296
18,12.521195057207565
19,6.618545923655116
20,5.9478629015753715
21,12.174886714330599
22,7.859548219271753
23,7.569026501183387
24,8.901781105494901
25,6.169638638854988
26,9.332101483664916
27,11.708010540057778
28,10.631472924482736
29,8.452277406198233
30,17.526932611457624
