,0
0,3.6512184398740826
1,4.171030437325028
2,4.639939279066987
3,5.071696585271831
4,5.461731502079437
5,5.828791113098696
6,6.182471844510051
7,6.520734253911661
8,6.831985452362259
9,7.129456054208897
10,7.414184429105399
11,7.712232494993912
12,7.9777307353863725
13,8.249946688629228
14,8.477884731489528
15,8.721266509290015
16,8.957392518425262
17,9.19394365586942
18,9.406962359500673
19,9.643460017386486
20,9.849044277963825
21,10.037622832541789
22,10.269266949783052
23,10.445951727437347
24,10.662365524357984
25,10.805872378383413
26,11.032157864818046
27,11.187391770719953
28,11.430558297105376
29,11.528929415868886
30,11.701390018991214
