,0
0,3.029806214806916
1,3.4849047410237732
2,3.6196158514445234
3,3.65327995286023
4,3.634747467898951
5,3.5929942169729836
6,3.5458076956099567
7,3.786525552405148
8,3.7976856442826668
9,3.7899346311497646
10,3.775448302354365
11,3.7623904023553023
12,3.7483418598476153
13,3.7072067269498348
14,3.6792219382367644
15,3.6544278790477076
16,3.616438690367894
17,3.8062542893672506
18,3.7916007364880304
19,3.7880203778750112
20,3.768511758706763
21,3.857798314228015
22,3.731094666102444
23,3.8465497151827766
24,3.834968140895428
25,3.8237420686272694
26,3.815635817660261
27,3.7971423442267347
28,3.7821732559990733
29,3.7730944338526555
30,3.759419558330932
