,0
0,25.49019607843137
1,23.955669224211423
2,23.870417732310315
3,22.421142369991475
4,25.575447570332482
5,26.08695652173913
6,26.59846547314578
7,21.568627450980394
8,20.545609548167093
9,21.994884910485933
10,22.59164535379369
11,22.335890878090368
12,23.444160272804773
13,20.971867007672635
14,23.955669224211423
15,24.808184143222505
16,27.536231884057973
17,20.6308610400682
18,22.762148337595907
19,20.886615515771528
20,22.16538789428815
21,20.545609548167093
22,23.614663256606992
23,23.18840579710145
24,22.506393861892583
25,24.21142369991475
26,24.55242966751918
27,22.762148337595907
28,20.034100596760442
29,20.545609548167093
30,23.444160272804773
