,0
0,3.025189025775599
1,3.489105183157525
2,3.62238357349532
3,3.65042446174065
4,3.6412081560097223
5,3.598972817051943
6,3.5391969124131326
7,3.7842083221301106
8,3.795335649762708
9,3.7891760951511047
10,3.7763920032019356
11,3.758675473128208
12,3.730203428899631
13,3.7120690629526587
14,3.679368736550855
15,3.652624741098093
16,3.61385213511821
17,3.811389211584014
18,3.8471234253963194
19,3.7835497352434864
20,3.761477522726385
21,3.7555649626694056
22,3.8413529205239585
23,3.7113497526288346
24,3.8371648491520376
25,3.8224601158780387
26,3.808060651270337
27,3.8728955390696447
28,3.7827391499607073
29,3.7725303760116904
30,3.7495011214207854
