,0
0,13.886299295474902
1,8.256306347948541
2,6.2925981640521575
3,5.4308351303358195
4,4.8350202911758
5,3.839011194493135
6,10.547870584948063
7,8.957293954610924
8,11.985736208817475
9,5.035060486317093
10,9.636593961434
11,4.165873835456479
12,20.445023258254675
13,8.058934073096749
14,6.5010275724774536
15,13.622261098883351
16,8.675516537397733
17,9.278422267414255
18,17.200113816537943
19,14.14235453504715
20,12.686810144453776
21,7.657830282538256
22,9.817907418391478
23,10.062990986389286
24,10.243104096911985
25,6.905249448172731
26,9.79225054870869
27,8.86198080037275
28,9.101766532566437
29,7.3822349586241165
30,8.02550452021828
