,0
0,23.785166240409207
1,23.10315430520034
2,20.034100596760442
3,19.352088661551576
4,17.988064791133844
5,17.81756180733163
6,17.050298380221655
7,16.36828644501279
8,16.28303495311168
9,15.345268542199488
10,14.83375959079284
11,13.981244671781756
12,14.066496163682864
13,12.446717817561808
14,12.702472293265131
15,13.640238704177323
16,13.72549019607843
17,10.656436487638533
18,11.423699914748507
19,12.872975277067349
20,9.633418584825234
21,11.764705882352942
22,9.633418584825234
23,10.741687979539641
24,9.718670076726342
25,10.571184995737426
26,8.695652173913043
27,8.951406649616368
28,9.292412617220801
29,9.377664109121909
30,10.059676044330775
