,0
0,0.401792047408276
1,0.35392731106192576
2,0.31979310177055237
3,0.2936689650646001
4,0.2734330157161944
5,0.2562361767743239
6,0.2424281621394573
7,0.23060144586922035
8,0.21977326756595897
9,0.21076321234357973
10,0.20290964257388808
11,0.19575900051359976
12,0.18925173612841803
13,0.18336195115558265
14,0.17787081016915016
15,0.17309874889795007
16,0.16857789206192553
17,0.16421368175845877
18,0.16050027127614006
19,0.15676050361445137
20,0.1534327523384259
21,0.1501644759473178
22,0.14729427618091673
23,0.14449596080289048
24,0.14186503939590675
25,0.1393523778804964
26,0.136989033109133
27,0.13473091804432746
28,0.1325882463722236
29,0.1305458394038016
30,0.12859442041338173
