,0
0,23.529411764705884
1,22.421142369991475
2,23.273657289002557
3,23.017902813299234
4,26.257459505541348
5,25.745950554134698
6,24.722932651321397
7,22.25063938618926
8,23.017902813299234
9,18.925831202046037
10,24.808184143222505
11,21.14236999147485
12,25.831202046035806
13,25.234441602728047
14,19.69309462915601
15,24.381926683716966
16,25.319693094629155
17,26.854219948849106
18,21.483375959079282
19,23.614663256606992
20,22.08013640238704
21,17.73231031543052
22,20.71611253196931
23,23.785166240409207
24,24.467178175618074
25,23.10315430520034
26,22.08013640238704
27,19.26683716965047
28,21.568627450980394
29,25.66069906223359
30,24.722932651321397
