,0
0,0.4975850072705304
1,0.4208281233205188
2,0.40396184784045214
3,0.4021131671853999
4,0.4038758075915881
5,0.407983706289747
6,0.4452624912168208
7,0.41895842365765673
8,0.43465497964733424
9,0.42317356122293537
10,0.4197767781695851
11,0.4152661391231832
12,0.41367152020384024
13,0.4116518347623678
14,0.4107869845570309
15,0.4115115884744827
16,0.40495365530023336
17,0.4056220990911255
18,0.4064483565928889
19,0.40728289604459733
20,0.4083130244801814
21,0.4072543946630468
22,0.40574112624824
23,0.40458518355948253
24,0.4042121742650835
25,0.4042206860366282
26,0.4042923825305436
27,0.40345329336238356
28,0.40392125592214384
29,0.4039707382970258
30,0.4044132265323992
