,0
0,24.722932651321397
1,23.358908780903665
2,27.280477408354646
3,25.404944586530263
4,27.96248934356351
5,26.257459505541348
6,23.18840579710145
7,26.17220801364024
8,24.381926683716966
9,27.195225916453538
10,21.73913043478261
11,25.404944586530263
12,25.66069906223359
13,24.296675191815858
14,25.319693094629155
15,22.6768968456948
16,24.978687127024724
17,25.831202046035806
18,22.932651321398126
19,25.14919011082694
20,26.939471440750214
21,27.024722932651322
22,19.096334185848253
23,19.352088661551576
24,21.6538789428815
25,28.55924978687127
26,22.08013640238704
27,26.08695652173913
28,24.55242966751918
29,27.877237851662404
30,23.529411764705884
